city,date,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,boundary_layer_height,pressure_msl
Beijing,2023-07-23,60.270833333333336,26.59166666666667,75.25,5.291666666666667,491.87295050000006,1003.8000000000001
Beijing,2023-07-24,83.00416666666666,27.95,75.66666666666667,8.445833333333335,625.6144110833333,1004.0708333333333
Beijing,2023-07-25,111.53333333333335,27.758333333333336,75.70833333333333,8.7125,459.3715870833333,1007.0833333333334
Beijing,2023-07-26,95.49166666666667,28.270833333333332,79.54166666666667,6.329166666666667,564.4049977083333,1008.8416666666667
Beijing,2023-07-27,94.57916666666667,27.40833333333333,81.16666666666667,6.766666666666667,546.5139675833333,1008.3458333333333
Beijing,2023-07-28,99.425,25.7625,83.29166666666667,5.0249999999999995,303.55489816666665,1009.2375000000001
Beijing,2023-07-29,51.4125,25.2375,91.08333333333333,9.295833333333333,362.76795375,1010.0500000000001
Beijing,2023-07-30,17.666666666666668,24.325,93.16666666666667,21.5,636.1168358333333,1009.2916666666666
Beijing,2023-07-31,17.270833333333332,25.116666666666664,93.20833333333333,21.78333333333333,636.6676329166667,1008.4208333333332
Beijing,2023-08-01,39.975,26.150000000000002,92.04166666666667,10.208333333333334,372.4919375,1007.7291666666666
Beijing,2023-08-02,58.275,28.366666666666664,84.5,15.316666666666668,481.49417220833334,1003.2166666666667
Beijing,2023-08-03,70.625,29.625,81.66666666666667,11.450000000000001,446.85699675,999.7583333333333
Beijing,2023-08-04,96.70833333333333,28.974999999999998,88.66666666666667,4.779166666666667,251.77589675000002,999.8291666666668
Beijing,2023-08-05,81.33749999999999,28.175,81.5,9.366666666666667,336.3982605,1000.9125
Beijing,2023-08-06,66.6375,26.025000000000002,75.08333333333333,7.3999999999999995,450.803799625,1003.9916666666667
Beijing,2023-08-07,72.92916666666666,25.766666666666666,76.33333333333333,9.075000000000001,388.9408120416667,1004.2833333333333
Beijing,2023-08-08,89.56666666666666,26.90416666666667,81.79166666666667,5.5,347.198184875,1004.9625
Beijing,2023-08-09,97.12916666666666,28.09583333333333,81.08333333333333,6.479166666666667,363.10981341666667,1007.1916666666666
Beijing,2023-08-10,104.95416666666667,26.97083333333333,81.25,9.604166666666666,321.74879258333334,1007.0541666666667
Beijing,2023-08-11,91.33749999999999,26.34583333333333,85.45833333333333,6.591666666666666,226.882667875,1001.6999999999999
Beijing,2023-08-12,58.95416666666667,26.683333333333334,82.83333333333333,8.308333333333334,425.2901434166667,1000.7375000000001
Beijing,2023-08-13,65.2625,27.4875,75.5,7.529166666666666,376.9152008333333,1003.4916666666667
Beijing,2023-08-14,79.78333333333333,27.59583333333333,76.41666666666667,7.570833333333333,315.039876,1005.3291666666668
Beijing,2023-08-15,76.5,27.97083333333333,75.70833333333333,9.420833333333333,378.74836395833336,1005.2375000000001
Beijing,2023-08-16,99.22916666666667,28.879166666666666,78.95833333333333,7.1125,306.66794566666664,1003.4875000000001
Beijing,2023-08-17,103.60416666666667,27.8625,80.875,6.708333333333333,299.823705,1004.9166666666666
Beijing,2023-08-18,71.60416666666667,29.087500000000002,60.5,7.508333333333333,334.2897159583334,1004.7291666666666
Beijing,2023-08-19,93.16666666666667,27.6875,70.95833333333333,6.654166666666666,305.04495595833333,1008.1083333333332
Beijing,2023-08-20,81.82916666666667,25.78333333333333,84.08333333333333,6.258333333333333,334.203366,1008.8416666666667
Beijing,2023-08-21,57.84166666666667,25.09166666666667,82.95833333333333,7.5625,371.99708029166663,1002.9250000000001
Beijing,2023-08-22,31.758333333333336,24.3875,58.625,11.141666666666666,416.06566745833334,1004.5708333333333
